time,r8i1p1f1,r2i1p1f1,r30i1p1f1,r31i1p1f1,r29i1p1f1,r3i1p1f1,r6i1p1f1,r27i1p1f1,r7i1p1f1,r9i1p1f1,r26i1p1f1,r20i1p1f1,r23i1p1f1,r25i1p1f1,r24i1p1f1,r22i1p1f1,r21i1p1f1,r19i1p1f1,r18i1p1f1,r11i1p1f1,r12i1p1f1,r17i1p1f1,r16i1p1f1,r1i1p1f1,r5i1p1f1,r4i1p1f1,r28i1p1f1,r14i1p1f1,r13i1p1f1,r10i1p1f1,r15i1p1f1,r32i1p1f1
2004-02-15 12:00:00,4.5677276,5.099442,4.9725647,5.5602155,6.2010274,4.7382665,4.738839,4.890615,6.406229,5.3199673,5.2960486,5.394107,5.522785,4.69237,5.8402863,4.52562,6.0229673,5.929432,4.406814,5.312321,5.6626644,5.4347005,5.0495877,4.605904,5.316624,5.295956,5.189948,5.571956,5.0351505,4.342862,6.592569,5.7028613
2004-03-16 12:00:00,4.680194,4.8977313,4.5260983,4.579086,4.2311506,4.7127347,4.745405,6.0867085,5.484907,4.585706,4.9210715,4.2733727,4.22782,4.668534,4.301896,3.830566,5.512134,5.04823,4.4347267,4.451019,4.16005,5.5076113,4.2284665,5.0761914,4.851584,4.659197,5.463428,5.2676363,5.0533977,5.0323977,4.9160576,4.6807227
2004-04-16 00:00:00,4.524651,5.2600493,4.460897,4.118662,4.464099,4.872494,4.6855125,4.4014645,4.6758733,4.680206,4.5804806,4.7904224,5.1965113,5.476886,4.509189,4.2415433,5.0112786,5.3931317,4.546497,4.072332,4.78584,4.3407702,4.3454685,4.313164,4.7847414,5.2465143,4.3924813,4.6964235,4.5944867,4.699629,4.8754263,5.0342417
2004-05-16 12:00:00,4.2716355,4.673937,3.8331525,4.8487706,4.240737,4.6259656,4.191025,5.119645,4.889123,4.6863155,5.2304473,4.6170263,4.8807654,4.44474,4.5496516,4.4213915,4.1888523,4.483995,4.458746,4.6212745,5.07117,4.2570314,4.3983026,4.871923,4.456512,4.038896,4.3726406,4.276357,4.4508643,4.7450266,4.2867465,5.3125544
2004-06-16 00:00:00,4.348993,4.045361,4.3925753,4.352281,4.155561,4.489561,4.292077,4.309649,5.3997803,3.9938564,4.73556,4.563191,4.3458734,5.186581,4.343081,4.049073,4.568202,4.2915454,4.5269675,4.928961,4.8129478,4.8700833,4.119463,5.048294,4.312984,4.264032,4.592699,5.059566,4.2318487,4.761365,4.280302,4.4993653
2004-07-16 12:00:00,4.4367976,4.501015,4.207455,4.6385827,4.637323,4.7979035,4.248229,4.824334,5.0643673,4.437592,4.760474,4.747097,5.283563,5.0986643,4.7775154,4.6561275,4.2460666,5.115234,4.072764,4.502932,4.704566,5.0958333,4.9300365,5.0776196,4.948298,4.9776635,4.7352104,4.981513,4.5006657,4.6146555,4.8790417,4.6776314
2004-08-16 12:00:00,5.550544,4.950195,5.305846,4.8602986,5.0563526,5.1294904,5.324143,5.146455,5.493884,5.1997113,4.8222904,4.884576,5.011599,4.405135,5.017342,5.4118366,4.8949857,5.1638217,5.0688367,4.996247,5.543273,5.4586453,5.1054707,5.5919666,5.09118,6.329243,4.612498,4.658853,4.4395123,4.937835,4.790916,5.2507396
2004-09-16 00:00:00,5.5797276,5.4434857,5.033529,6.238446,5.4900646,5.9262366,4.9760857,5.501807,5.9002104,5.084055,5.9704137,5.5997934,5.721246,5.4979773,5.1824102,4.927392,6.420988,5.648359,5.8771477,5.503448,6.1064115,6.842099,5.562421,5.42013,5.169806,5.5845914,5.8633313,6.109904,4.820292,5.6754174,5.4612255,5.288792
2004-10-16 12:00:00,5.776185,5.5057306,5.2223287,5.623458,5.203854,5.2035527,5.368503,5.4779468,6.1591516,5.198281,5.5480776,5.493014,5.6061707,4.8780417,5.3358436,4.66734,5.539489,5.2924886,5.7254205,5.4019494,5.8834686,6.0604596,6.0156655,5.5418,5.302245,5.6522303,5.662333,5.246598,5.449951,5.6988106,5.4729652,5.0224338
2004-11-16 00:00:00,4.6518817,4.9329505,5.3312554,5.452569,5.9702873,5.427036,4.9192233,5.911037,5.6594305,4.685484,4.937174,4.9835367,5.3388267,4.9067087,4.93206,5.6573915,5.6644583,5.4488993,5.4433565,5.160534,5.958776,5.2383146,5.6234293,5.6448298,4.9612317,4.6135373,5.6641865,5.9989877,4.576936,5.404147,5.361921,4.884152
2004-12-16 12:00:00,4.5759864,5.399839,5.5401874,5.6101313,5.103112,5.2524605,5.0357294,4.6693425,5.463409,5.3371754,5.162408,5.0374928,4.722123,5.614842,5.5764523,5.5889597,5.025269,5.3927207,5.1539345,5.773225,4.929507,5.3501487,5.6440725,5.260352,4.3354106,4.823056,5.772004,4.949142,5.1940484,5.1345816,5.643517,4.970524
2005-01-16 12:00:00,5.98054,5.56668,5.4451375,5.514396,4.820811,5.0050626,4.9208126,5.765211,5.045642,5.4592013,5.459481,4.870544,4.960846,4.6957645,5.4366345,5.152627,5.6063833,5.194396,4.8751917,4.998779,5.521909,5.812133,5.5114603,5.407039,5.188615,4.260696,6.0048532,5.2353687,5.31568,4.851587,5.0332904,4.5125375
2005-02-15 00:00:00,6.3770447,5.3785896,4.937781,5.3118887,5.622707,5.6446104,4.7590365,5.8701015,5.523161,4.796246,5.159728,5.1332603,5.3647127,5.8526835,4.5748043,4.955451,6.109591,5.6706586,5.0812817,5.004825,4.9070315,5.496079,5.338595,4.9603825,5.0404854,4.3498874,5.208943,4.634434,5.4920835,5.3437567,4.558689,4.6300206
2005-03-16 12:00:00,5.1158442,5.334305,4.6324906,4.329911,5.076223,4.5883136,5.1993866,5.0688715,4.5998883,4.9201527,4.8991733,5.556869,5.613496,4.830613,5.4767723,4.6782594,5.4934487,5.2182546,4.6117845,5.4092803,5.2140713,4.924298,4.8020325,4.50886,4.666439,4.7421165,5.2906485,4.704391,5.9446006,4.9572887,4.769025,4.149126
2005-04-16 00:00:00,4.4777455,4.4441595,3.9365072,4.4043775,5.025238,4.251593,4.383497,4.545401,4.638738,4.362042,4.6248374,4.441137,5.129452,4.894138,4.7558675,5.4456706,4.948416,4.3780785,5.1303473,4.8229523,4.7591543,5.6848927,4.788769,4.7215023,4.8212276,4.2231426,4.8857536,4.2661977,5.2905455,4.445459,4.93143,4.6612067
2005-05-16 12:00:00,4.2933655,4.604816,3.8425791,5.1774054,4.8356385,4.1928377,4.610798,4.2468343,4.19631,4.401278,4.276992,4.381951,5.0525727,5.148144,4.0819387,4.3595934,4.8566337,4.3452215,4.996486,4.5127206,3.942701,4.6471524,4.8400583,4.8225737,4.327316,4.742886,4.221668,4.1002407,5.2231956,4.2571115,4.6499476,5.171352
2005-06-16 00:00:00,4.682862,4.061051,5.8373194,5.4439626,4.6522036,4.372811,4.8836765,4.360337,4.668095,4.9975324,4.416171,4.2236853,4.475006,5.5667276,4.470312,4.739548,4.6020436,4.7871575,4.305799,4.991758,4.63361,4.2300067,4.7369237,4.2299337,4.9486837,4.7099695,4.7691455,4.736849,4.5925517,4.6482935,5.1571164,4.397474
2005-07-16 12:00:00,4.540606,4.5279903,5.2987175,4.5554833,4.664838,4.9061856,5.059212,5.697391,4.11439,5.0845404,4.415811,4.837748,4.6073594,4.701358,4.509899,4.768954,4.933354,4.469273,4.885964,4.9506717,4.5911407,4.493992,4.3576207,4.5073395,5.1128073,4.727649,5.170133,4.4829955,4.623028,4.830365,4.6693654,4.3569155
