time,r1i1p1f1,r4i1p1f1,r5i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r8i1p1f1,r7i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1
2012-07-15 12:00:00,4.8033323,4.5369053,5.3038597,4.588657,5.405016,4.360004,4.9800086,4.3118606,4.7892084,4.4441943,4.28923
2012-08-15 12:00:00,5.265044,4.648911,5.2194214,5.491768,4.8943567,5.3655376,4.8171964,5.2613015,4.9189806,4.879329,5.219782
2012-09-15 00:00:00,4.8934546,5.9759984,5.8819714,6.134734,6.7414722,6.3396473,6.1056957,6.1109676,6.132298,4.748274,5.5439105
2012-10-15 12:00:00,6.0024166,5.4837933,5.52196,5.375354,6.182875,6.399258,4.9916677,5.689492,6.502486,5.606263,5.2857285
2012-11-15 00:00:00,5.0297065,5.3796487,5.7434225,5.998801,5.521531,5.739316,6.5645905,5.6165795,5.4082546,5.3528156,5.4592075
2012-12-15 12:00:00,5.0106125,5.2288985,6.1937757,5.543187,5.7992196,5.199335,5.389691,5.88373,5.4526873,5.4787197,5.421274
2013-01-15 12:00:00,5.5670853,5.193195,5.3907123,5.2107816,6.600297,5.1599317,5.5048327,5.3586664,5.661016,5.662663,5.5369396
2013-02-14 00:00:00,5.4598794,6.5319743,5.7702274,5.8785167,5.2622604,5.7393627,5.557714,5.5949802,5.9801273,5.894823,5.1325326
2013-03-15 12:00:00,6.0037603,5.3772645,6.883684,5.4995728,5.6896753,6.756662,5.519027,5.8083043,5.6045475,4.763311,6.3792667
2013-04-15 00:00:00,5.6853247,5.8601246,7.111231,5.5737996,6.003813,5.182395,5.598242,5.5074463,6.0264587,4.9573245,5.5240207
2013-05-15 12:00:00,5.777149,6.029273,5.340698,5.1135874,5.270995,5.5645895,5.0094366,5.054957,4.9780383,4.664903,4.916765
2013-06-15 00:00:00,4.408332,4.5979543,4.155647,4.4437237,5.1773367,5.455185,5.065446,4.8323774,5.605036,4.7249537,5.351313
2013-07-15 12:00:00,4.2961926,4.2383637,4.4996758,4.724743,5.186201,4.1884937,4.800457,4.7496433,4.7287316,4.698384,4.2651005
2013-08-15 12:00:00,5.2715087,5.056166,5.0989003,5.1851788,6.0723577,5.1377506,5.594933,5.39351,5.1627154,5.5168653,4.670496
2013-09-15 00:00:00,5.3699436,5.642761,6.3142314,7.151562,6.000546,6.4762044,5.850083,6.2630157,6.277662,6.290098,6.4597735
2013-10-15 12:00:00,6.1553288,7.3405933,5.287661,5.746549,5.8329053,5.8551183,6.042268,5.524188,5.479323,5.3539095,5.7893596
2013-11-15 00:00:00,5.732669,6.8405795,5.6282864,5.479116,5.653824,4.966766,5.911885,5.380466,5.760859,5.4665713,5.048302
2013-12-15 12:00:00,5.9307218,5.249023,4.734072,5.5887733,5.944285,5.4683995,5.760807,4.8305645,5.9944468,4.9352612,5.5792203
2014-01-15 12:00:00,5.330635,5.847607,5.715644,4.5386963,5.127623,5.5946064,5.6027718,5.4650426,5.4027767,5.534013,5.4582767
2014-02-14 00:00:00,5.6673017,6.0434003,6.1236196,6.10901,5.6522026,5.821963,5.5727167,4.2234073,6.209948,6.2870755,6.5818567
2014-03-15 12:00:00,6.0831194,6.245609,6.004142,6.140767,6.178311,5.0829806,5.538795,5.9195194,6.947141,6.2995596,5.7446275
2014-04-15 00:00:00,5.8884153,6.6838374,7.142483,5.631985,5.5187716,5.1604695,5.729075,5.868802,6.0662684,5.490837,6.5386405
2014-05-15 12:00:00,5.526535,5.653539,5.9188685,5.449275,5.2739096,4.6348853,6.2442217,4.9265323,4.8554277,5.61125,5.089443
2014-06-15 00:00:00,5.296209,4.766976,5.155146,4.444697,4.6233325,5.3302903,5.350251,4.577013,4.954353,4.9624887,5.452305
2014-07-15 12:00:00,5.744103,4.6655164,5.452372,4.5874553,5.129202,4.851036,4.879809,5.5245953,4.68339,4.8561807,4.7814612
2014-08-15 12:00:00,5.3522,5.223852,5.941065,5.0108085,5.264887,4.99069,5.2952986,4.9488373,4.7009373,5.359812,5.339656
2014-09-15 00:00:00,6.1905527,5.667968,6.106814,5.8107824,6.23168,5.600646,6.7353625,5.7806377,6.2005253,5.6397066,5.315796
2014-10-15 12:00:00,5.191375,5.990583,6.0105186,5.920567,6.9196744,5.311078,6.10112,5.5908422,6.0561547,5.9813437,6.711692
2014-11-15 00:00:00,5.9377575,6.664973,5.629442,5.3619256,5.540631,5.6854563,6.4703493,5.170906,5.6718054,6.151129,5.830482
2014-12-15 12:00:00,5.0132403,5.862396,5.396616,5.378435,5.932042,5.2327085,4.917761,6.5517797,4.797628,5.6050014,5.760003
