time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2003-05-16 12:00:00,5.595465,5.2726765,4.883507,5.7500176,5.2739844,6.777322,4.9426017,6.2888727,4.792569,5.1343017,4.9323745,5.7031364,5.647807,4.9079213,5.305348,5.8586364,5.669325,5.4550805,5.495939,5.7250276,6.3966327,5.1736965,5.6759,6.1021447,5.4358735
2003-06-16 00:00:00,4.834662,4.949502,5.0857873,6.017201,5.8376994,5.808813,5.1665707,5.088392,4.970754,4.743159,4.4741483,5.3006186,4.7302675,4.9780264,4.614975,5.7199087,6.2273264,5.2925453,5.898966,5.2037086,5.9622474,5.87833,5.5269513,5.03747,5.127829
2003-07-16 12:00:00,4.598697,5.457922,4.9588675,5.425733,5.0162244,5.498446,4.9395413,5.2161884,5.428602,4.7762904,4.518471,4.646296,5.212788,4.8140516,4.434671,5.4423327,4.8953176,5.1693015,5.113025,4.569655,4.9568205,5.3395348,4.959365,4.7431736,5.0402203
2003-08-16 12:00:00,4.7395844,5.246998,5.5195007,5.0660305,5.357073,5.320218,5.439986,5.09325,5.259147,4.947564,4.613255,5.2129145,5.1489706,5.212466,5.089767,5.1913786,5.190849,5.253348,5.3942456,5.3888726,5.0549183,4.8069763,4.993131,4.9348855,5.0099816
2003-09-16 00:00:00,6.1626205,5.224543,5.932094,5.8941503,5.2835946,5.231811,5.8404727,5.7375174,5.138989,5.4027843,5.379202,5.368347,5.7853675,6.4145474,5.543702,5.5622487,5.7668896,5.4839625,5.408855,5.204868,5.0763474,5.315503,6.2496486,5.9573736,5.027825
2003-10-16 12:00:00,6.5399356,5.819685,6.195368,5.9880724,5.675867,5.6916056,5.905283,5.8362527,5.833112,5.9380198,6.1777997,6.022826,6.262474,6.1251307,5.3028445,5.9925175,6.5737844,5.6826115,5.5796437,5.3161163,5.9486713,5.9673843,6.3875103,5.492961,5.91373
2003-11-16 00:00:00,6.0688653,6.453152,6.4509335,6.5237064,6.308933,6.731438,6.1806784,5.764409,5.644575,5.6717124,6.20968,6.007076,5.741863,6.223246,5.5678406,6.3487844,6.8660593,5.858062,5.700788,5.8772497,5.713792,5.866572,5.595621,6.642577,6.8905215
2003-12-16 12:00:00,5.957755,6.223039,6.0686016,5.5878925,6.0589623,6.2689033,5.8385935,6.0749416,6.077406,5.3498197,6.5167418,6.080418,5.9710355,5.702167,5.8423276,5.667391,5.844244,5.345988,5.8797364,5.131643,5.590354,6.376141,6.333479,5.4973507,5.6895866
2004-01-16 12:00:00,5.798534,6.4763546,5.8746805,5.665836,6.4318643,5.5331964,5.767263,6.07897,5.8130755,5.8964634,6.3722115,6.1236563,6.4008417,6.459392,7.3167343,5.808058,5.683737,6.049029,6.0740237,5.812877,6.1296616,5.854254,6.408325,5.866481,5.445501
2004-02-15 00:00:00,5.7446203,5.9474716,5.3812656,5.603742,5.6411533,5.689871,5.55768,5.745336,6.229034,5.8060093,5.6922727,5.4722786,6.1912923,6.234058,5.979766,5.6198506,6.051637,6.0904617,6.0888357,5.596687,5.801458,5.5828695,6.8726864,6.1016254,6.1118145
