time,r2i1p1f1,r3i1p1f1,r1i1p1f1
2012-01-16 12:00:00,0.13150126,0.11271188,0.11387159
2012-02-15 12:00:00,0.12428042,0.12316976,0.11739019
2012-03-16 12:00:00,0.10055807,0.10237946,0.11042137
2012-04-16 00:00:00,0.10294743,0.11040953,0.11326231
2012-05-16 12:00:00,0.093398355,0.10585974,0.11845482
2012-06-16 00:00:00,0.11542918,0.10506533,0.11252952
2012-07-16 12:00:00,0.12220831,0.10779649,0.10963063
2012-08-16 12:00:00,0.14401849,0.1268481,0.12985876
2012-09-16 00:00:00,0.12828119,0.13251975,0.14015885
2012-10-16 12:00:00,0.14140005,0.13081528,0.1498429
2012-11-16 00:00:00,0.12614192,0.1291413,0.12399883
2012-12-16 12:00:00,0.13298054,0.11979223,0.116962574
2013-01-16 12:00:00,0.12038438,0.113030106,0.12389664
2013-02-15 00:00:00,0.12156025,0.124973245,0.12376962
2013-03-16 12:00:00,0.10399868,0.10810503,0.119997755
2013-04-16 00:00:00,0.099002816,0.115491554,0.114296585
2013-05-16 12:00:00,0.09387786,0.10726303,0.10893659
2013-06-16 00:00:00,0.10825247,0.1010538,0.11567073
2013-07-16 12:00:00,0.11711851,0.10950454,0.128364
2013-08-16 12:00:00,0.14727063,0.12625127,0.1279607
2013-09-16 00:00:00,0.1562899,0.14471564,0.12819338
2013-10-16 12:00:00,0.1282148,0.14775135,0.12334844
2013-11-16 00:00:00,0.13590106,0.12292219,0.1263482
2013-12-16 12:00:00,0.119350575,0.13205245,0.121217206
2014-01-16 12:00:00,0.11745686,0.13413575,0.13077527
2014-02-15 00:00:00,0.11719614,0.13412027,0.10757821
2014-03-16 12:00:00,0.099640384,0.12151818,0.11601499
2014-04-16 00:00:00,0.11025235,0.10611151,0.09815369
2014-05-16 12:00:00,0.10697886,0.105759144,0.098320186
2014-06-16 00:00:00,0.11279902,0.10144568,0.106901504
2014-07-16 12:00:00,0.12740085,0.11662937,0.115354195
2014-08-16 12:00:00,0.1277108,0.13959578,0.121926114
2014-09-16 00:00:00,0.13668703,0.14513463,0.11720689
2014-10-16 12:00:00,0.12896733,0.13585413,0.12705112
2014-11-16 00:00:00,0.13462248,0.12734266,0.12623085
2014-12-16 12:00:00,0.1172158,0.11485916,0.12989815
