time,r5i1p1f1,r13i1p1f1,r19i1p1f1,r9i1p1f1,r3i1p1f1,r12i1p1f1,r1i1p1f1,r4i1p1f1,r11i1p1f1,r14i1p1f1,r29i1p1f1,r6i1p1f1,r26i1p1f1,r2i1p1f1,r7i1p1f1
1985-04-16 00:00:00,0.118019566,0.1166658,0.11399165,0.11021686,0.11548611,0.11470218,0.11360211,0.11590263,0.1037431,0.122200705,0.11438505,0.11658886,0.1365799,0.10985542,0.12087868
1985-05-16 12:00:00,0.10450056,0.11243544,0.09768049,0.116913214,0.104524426,0.10304723,0.115796514,0.106498174,0.111894645,0.10833388,0.096276924,0.1065376,0.13257417,0.103109345,0.11265614
1985-06-16 00:00:00,0.11569713,0.11472464,0.11629363,0.11451901,0.10862217,0.10918745,0.0996985,0.11134057,0.101015754,0.10677123,0.106330924,0.10965949,0.118618704,0.11767403,0.1045458
1985-07-16 12:00:00,0.10727787,0.106349275,0.11364679,0.108377844,0.1100473,0.12752661,0.10797603,0.10239024,0.11297316,0.103503704,0.113563545,0.10400258,0.106943205,0.11073047,0.12641956
1985-08-16 12:00:00,0.11984969,0.11086148,0.11831974,0.121993296,0.114258744,0.13363029,0.1342818,0.11090878,0.12694637,0.12928773,0.12639102,0.12428268,0.10721356,0.12937686,0.12446118
1985-09-16 00:00:00,0.1323781,0.1381666,0.120710135,0.13888304,0.11427614,0.11010743,0.1248929,0.12101213,0.13601996,0.13358876,0.13265492,0.11592565,0.1244865,0.12352861,0.117483094
1985-10-16 12:00:00,0.12077186,0.118203744,0.121309325,0.152519,0.13935024,0.1300793,0.13645083,0.12803556,0.14915395,0.13818233,0.11377669,0.12946513,0.13720989,0.13654217,0.13369122
1985-11-16 00:00:00,0.14888929,0.13933924,0.15909865,0.14376096,0.14213511,0.14779106,0.14388984,0.12756371,0.12630466,0.14527397,0.13338146,0.14392884,0.15143548,0.14407274,0.13854791
1985-12-16 12:00:00,0.16098344,0.14230022,0.15854527,0.15544654,0.16042836,0.14225169,0.14466283,0.15394405,0.14478962,0.13937072,0.15898773,0.13599159,0.14584908,0.15795228,0.14164212
1986-01-16 12:00:00,0.15829937,0.15712927,0.15634163,0.1584906,0.15375933,0.13201065,0.13791373,0.15405509,0.13274375,0.14671977,0.15033923,0.13361184,0.1624332,0.14391091,0.13948172
1986-02-15 00:00:00,0.13269627,0.15061465,0.12861677,0.14364265,0.124787,0.13552634,0.14422986,0.15145536,0.13906282,0.12915038,0.1332639,0.124462724,0.15787244,0.13095206,0.13230225
1986-03-16 12:00:00,0.117568545,0.13850228,0.10568248,0.13038582,0.12726246,0.14376485,0.14285488,0.13480535,0.11698294,0.12023225,0.11764493,0.12259903,0.12920119,0.11545216,0.12613907
1986-04-16 00:00:00,0.113877445,0.11901958,0.11732198,0.13312608,0.1019736,0.11923499,0.11883833,0.13510744,0.098487295,0.10201716,0.115984306,0.11795829,0.12820609,0.12729602,0.12003187
1986-05-16 12:00:00,0.10698073,0.11119105,0.11239554,0.11741844,0.10416152,0.116391346,0.1148521,0.11424269,0.11214324,0.11557366,0.103262275,0.11012935,0.12252902,0.10745056,0.10331318
